Scientific.name,Common.name,Iconic.taxon.name,Taxon #,Place.guess,Latitude,Longitude
Venusia cambrica,Welsh Wave Moth,Insecta,233423,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Anisota virginiensis,Pink-striped Oakworm Moth,Insecta,81584,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Dolba hyloeus,Pawpaw Sphinx,Insecta,143441,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Peridea ferruginea,Chocolate Prominent,Insecta,227466,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Schizura unicornis,Unicorn Prominent,Insecta,126207,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Oligocentria lignicolor,White-streaked Prominent,Insecta,226345,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Hyphantria cunea,Fall Webworm Moth,Insecta,127133,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Apantesis virgo,Virgin Tiger Moth,Insecta,606580,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Apantesis virgo,Virgin Tiger Moth,Insecta,606580,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Halysidota tessellaris,Banded Tussock Moth,Insecta,120217,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Ctenucha virginica,Virginia Ctenucha Moth,Insecta,119013,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Idia americalis,American Idia Moth,Insecta,127457,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Zanclognatha theralis,Flagged Fan-foot,Insecta,233950,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Zanclognatha jacchusalis,Wavy-lined Fan-foot,Insecta,133625,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Bleptina caradrinalis,Bent-winged Owlet,Insecta,215271,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Renia flavipunctalis,Yellow-spotted Renia Moth,Insecta,205302,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Redectis vitrea,White-spotted Redectis Moth,Insecta,229823,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Hypena baltimoralis,Baltimore Snout,Insecta,82201,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Hypena scabra,Green Cloverworm Moth,Insecta,118513,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Pangrapta decoralis,Decorated Owlet,Insecta,226889,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Chrysanympha formosa,Formosa Looper Moth,Insecta,216824,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Leuconycta lepidula,Marbled-green Leuconycta Moth,Insecta,223564,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Panthea acronyctoides,Black Zigzag Moth,Insecta,176096,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Raphia frater,Brother Moth,Insecta,229817,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Acronicta americana,American Dagger,Insecta,145659,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Acronicta innotata,Unmarked Dagger,Insecta,212435,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Acronicta innotata,Unmarked Dagger,Insecta,212435,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Bombus ternarius,Tricolored Bumble Bee,Insecta,127905,"Winter Harbor, ME, USA",44.38046667,-68.06439167
Danaus plexippus,Monarch,Insecta,48662,"Hancock, Maine, United States",44.336175,-68.06174444
Danaus plexippus,Monarch,Insecta,48662,"Hancock, Maine, United States",44.33613611,-68.06179167
Euphyes vestris,Dun Skipper,Insecta,58514,"Winter Harbor, ME, USA",44.33618611,-68.06168333
Bombus fernaldae,Fernald's Cuckoo Bumble Bee,Insecta,198858,"Winter Harbor, ME, USA",44.33618611,-68.06168333
Danaus plexippus,Monarch,Insecta,48662,"Hancock, Maine, United States",44.33634167,-68.06178333
Danaus plexippus,Monarch,Insecta,48662,"Hancock, Maine, United States",44.33650556,-68.06168333
Anageshna primordialis,Yellow-spotted Webworm Moth,Insecta,213510,"Winter Harbor, ME, USA",44.38127778,-68.06523889
Limenitis arthemis,Red-spotted Admiral,Insecta,60607,"Acadia National Park, Winter Harbor, ME, US",44.33898101,-68.04657765
Saperda calcarata,Poplar Borer,Insecta,230386,"Bar Harbor, ME, USA",44.36261111,-68.20751111
Synchlora aerata,Wavy-lined Emerald,Insecta,126204,"Bar Harbor, ME, USA",44.36256667,-68.20776389
Neocataclysta magnificalis,Scrollwork Pyralid Moth,Insecta,225579,"Bar Harbor, ME, USA",44.36255278,-68.20746667
Zanclognatha jacchusalis,Wavy-lined Fan-foot,Insecta,133625,"Bar Harbor, ME, USA",44.36213333,-68.20738889
Microcrambus elegans,Elegant Grass-veneer,Insecta,52904,"Bar Harbor, ME, USA",44.36195833,-68.20761944
Harmonia axyridis,Asian Lady Beetle,Insecta,48484,"Bar Harbor, ME, USA",44.36202222,-68.20768611
Zanclognatha jacchusalis,Wavy-lined Fan-foot,Insecta,133625,"Bar Harbor, ME, USA",44.36208611,-68.20771667
Campaea perlata,Pale Beauty,Insecta,81681,"Bar Harbor, ME, USA",44.36191111,-68.20751944
Eulithis explanata,White Eulithis Moth,Insecta,219746,"Bar Harbor, ME, USA",44.36192778,-68.20778611
Arion subfuscus,Dusky Slug,Mollusca,61428,"Bar Harbor, ME, USA",44.36244167,-68.20819167
Catocala antinympha,Sweetfern Underwing Moth,Insecta,121029,"Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.36248333,-68.207475
Raphia frater,Brother Moth,Insecta,229817,"Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.362475,-68.20749722
Campaea perlata,Pale Beauty,Insecta,81681,"Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.3625,-68.20749722
Apantesis virgo,Virgin Tiger Moth,Insecta,606580,"Bar Harbor, ME, USA",44.362325,-68.20756667
Anageshna primordialis,Yellow-spotted Webworm Moth,Insecta,213510,"Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.36200833,-68.207275
Haploa clymene,Clymene Moth,Insecta,126106,"Bar Harbor, ME, USA",44.36238056,-68.20759444
Raphia frater,Brother Moth,Insecta,229817,"Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.36259444,-68.20720556
Cyclophora pendulinaria,Sweetfern Geometer Moth,Insecta,217970,"Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.36259444,-68.20720556
Acleris curvalana,Blueberry Leaftier Moth,Insecta,174131,"Bar Harbor, ME, USA",44.36254167,-68.2072
Hypena scabra,Green Cloverworm Moth,Insecta,118513,"Bar Harbor, ME, USA",44.36253611,-68.20719167
Raphia frater,Brother Moth,Insecta,229817,"Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.36253333,-68.2072
Apantesis virgo,Virgin Tiger Moth,Insecta,606580,"Bar Harbor, ME, USA",44.36260556,-68.207175
Danaus plexippus,Monarch,Insecta,48662,"Acadia National Park, Winter Harbor, ME, US",44.33687167,-68.06176667
Thamnophis sirtalis,Common Garter Snake,Reptilia,28362,"Winter Harbor, ME, USA",44.33806111,-68.06113333
Danaus plexippus,Monarch,Insecta,48662,"Acadia National Park, Winter Harbor, ME, US",44.33642167,-68.06178333
Sorbus americana,American mountain ash,Plantae,54265,"Alvey Drive Winter Harbor, ME 04693",44.33976678,-68.06122639
Lygaeus kalmii,Small Milkweed Bug,Insecta,62045,"Acadia National Park, Winter Harbor, ME, US",44.33649167,-68.06176117
Haploa clymene,Clymene Moth,Insecta,126106,"Mt Desert, ME 04660, USA",44.3385559,-68.2733346
Toxomerus marginatus,Margined Calligrapher,Insecta,126889,"Winter Harbor, ME, USA",44.33613889,-68.06138611
Vicia cracca,tufted vetch,Plantae,52471,"Winter Harbor, ME, USA",44.33653333,-68.06143056
Bombus borealis,Northern Amber Bumble Bee,Insecta,143854,"Winter Harbor, ME, USA",44.33654722,-68.061425
Setophaga americana,Northern Parula,Aves,145233,"Winter Harbor, ME, USA",44.33809167,-68.06105
Vaccinium angustifolium,lowbush blueberry,Plantae,84542,"Winter Harbor, ME, USA",44.381725,-68.06960278
Leucanthemum vulgare,oxeye daisy,Plantae,56057,"Winter Harbor, ME, USA",44.33890833,-68.06101944
Monotropa uniflora,Indian pipe,Plantae,49477,"Winter Harbor, ME, USA",44.38153056,-68.07006944
Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970,"Winter Harbor, ME, USA",44.38005833,-68.06640556
Monotropa uniflora,Indian pipe,Plantae,49477,"Winter Harbor, ME, USA",44.38147222,-68.07013611
